headword,CEFR,lemma,pos,spanish
figure,A2,figure,NOUN,cifra
figure,A2,figure,NOUN,cifra
file,A1,file,NOUN,archivo
file,B2,file,NOUN,archivo
filial,B2,filial,PROPN,filial
fill,A1,fill,VERB,llenar
filling,B1,fill,VERB,relleno
film,A2,film,NOUN,película
film,B1,film,NOUN,película
film-maker,B1,film,NOUN,cineasta
filter,B1,filter,VERB,filtrar
final,A2,final,ADJ,final
final,A2,final,ADJ,final
finally,A2,finally,ADV,finalmente
finance,B2,finance,NOUN,finanzas
finance,B1,finance,NOUN,finanzas
financial,B1,financial,ADJ,financiero
financially,B2,financially,ADV,financialmente
find,A1,find,VERB,encontrar
finding,B1,find,VERB,descubrimiento
fine,A1,fine,ADJ,bien
fine,B2,fine,ADJ,bien
fine,B1,fine,ADJ,bien
fine,B2,fine,ADJ,bien
finely,B2,finely,ADV,finamente
finger,B1,finger,NOUN,dedo
fingernail,B2,fingernail,VERB,uña
finish,A1,finish,NOUN,finalizar
finish,A1,finish,NOUN,finalizar
fire,A1,fire,NOUN,fuego
fire,B2,fire,NOUN,fuego
fire brigade,B2,fire,NOUN,cuerpo de bomberos
fire station,B1,fire,NOUN,estación de bomberos
firearm,B2,firearm,PROPN,arma de fuego
firefighter,B1,firefighter,NOUN,bombero
fireplace,B2,fireplace,NOUN,hogar
firework,B1,firework,NOUN,fuegos artificiales
firm,B1,firm,NOUN,firme
firm,B1,firm,NOUN,firme
firmly,B1,firmly,ADV,firmemente
firmness,B2,firmness,NOUN,firmeza
first,A1,first,ADV,primero
first,A1,first,ADV,primero
first floor,B1,first,ADJ,primer piso
first lady,B1,first,PROPN,primera mujer
first language,B2,first,ADJ,primer idioma
first name,A2,first,PROPN,nombre de pila
first person,B2,first,ADJ,primera persona
first-floor,B1,first,ADJ,primer piso
firstly,B2,firstly,ADV,en primer lugar
fiscal,B2,fiscal,ADJ,fiscal
fish,A1,fish,NOUN,pez
fish,B1,fish,NOUN,pez
fisherman,A2,fisherman,VERB,pescador
fishing,A1,fishing,NOUN,pesca
fit,A2,fit,ADJ,adaptar
fit,B2,fit,ADJ,adaptar
fit,B1,fit,ADJ,adaptar
fitness,B1,fitness,NOUN,aptitud física
five,A1,five,NUM,cinco
fix,A2,fix,NOUN,arreglar
fix,B1,fix,NOUN,arreglar
fixed,B2,fix,VERB,fijado
flag,A1,flag,NOUN,bandera
flame,B2,flame,NOUN,llama
flap,B2,flap,NOUN,solapa
flash,B1,flash,VERB,destello
flash,B2,flash,VERB,destello
flash,B2,flash,VERB,destello
flat,B1,flat,ADJ,departamento
flat,B2,flat,ADJ,departamento
flat,A1,flat,ADJ,departamento
flavor/flavour,B1,flavor,NOUN,sabor/sabor
flaw,B2,flaw,NOUN,defecto
flawless,B2,flawless,NOUN,impecable
flax,B2,flax,PROPN,lino
flea,A2,flea,PROPN,pulga
flee,B2,flee,PROPN,huir
fleet,B2,fleet,NOUN,flota
flesh,B2,flesh,NOUN,carne
flexibility,B2,flexibility,NOUN,flexibilidad
flexible,B2,flexible,ADJ,flexible
flexibly,B2,flexibly,ADV,flexiblemente
flight,A2,flight,NOUN,vuelo
flip,B2,flip,VERB,voltear
float,A2,float,NOUN,flotar
float,B1,float,NOUN,flotar
flock,B1,flock,NOUN,rebaño
flood,A2,flood,NOUN,inundación
flood,B1,flood,NOUN,inundación
floor,A1,floor,NOUN,piso
flour,A2,flour,NOUN,harina
flow,B1,flow,VERB,fluir
flow,B1,flow,VERB,fluir
flower,A1,flower,NOUN,flor
flu,B1,flu,PROPN,gripe
fluency,B2,fluency,NOUN,fluidez
fluent,B1,fluent,ADJ,fluido
fluently,B1,fluently,ADV,con fluidez
fluid,B2,fluid,NOUN,líquido
flunk,B1,flunk,NOUN,suspender
flute,B1,flute,NOUN,flauta
flutter,B2,flutter,NOUN,aleteo
fly,A1,fly,VERB,volar
fly,A1,fly,VERB,volar
focus,B2,focus,VERB,enfocar
focus,A1,focus,VERB,enfocar
fog,A2,fog,NOUN,niebla
foggy,A1,foggy,ADJ,neblinoso
fold,B1,fold,VERB,doblar
fold,B1,fold,VERB,doblar
folder,A2,folder,NOUN,carpeta
folk,B1,folk,NOUN,gente
follow,A2,follow,VERB,seguir
follower,B2,follower,NOUN,seguidor
following,A1,follow,VERB,siguiente
following,B2,follow,VERB,siguiente
folly,B2,folly,ADJ,locura
fond,B1,fond,PROPN,aficionado
fondly,B2,fondly,ADV,afectuosamente
fondness,B1,fondness,NOUN,cariño
food,A1,food,NOUN,alimento
fool,A2,fool,NOUN,tonto
fool,B1,fool,NOUN,tonto
foolish,B1,foolish,ADJ,necio
foolishly,B2,foolishly,ADV,neciamente
foot,B1,foot,NOUN,pie
football,A1,football,NOUN,fútbol americano
footballer,A2,footballer,NOUN,futbolista
footnote,B2,footnote,VERB,nota
for,A2,for,ADP,para
for,A1,for,ADP,para
forbid,A2,forbid,VERB,prohibir
forbidden,B1,forbid,VERB,prohibido
force,A2,force,NOUN,fuerza
force,B2,force,NOUN,fuerza
forcefully,B2,forcefully,ADV,con fuerza
forecast,B1,forecast,PROPN,pronóstico
forehead,B1,forehead,PROPN,frente
foreign,A1,foreign,ADJ,extranjero
foreigner,A1,foreigner,NOUN,extranjero
foreman,B2,foreman,PROPN,capataz
foresee,B2,foresee,VERB,prever
forest,A2,forest,NOUN,bosque
forestry,B2,forestry,PROPN,silvicultura
forever,A2,forever,ADV,para siempre
forget,A1,forget,VERB,olvidar
forgive,B1,forgive,VERB,perdonar
fork,A2,fork,VERB,tenedor
form,A1,form,NOUN,forma
form,B1,form,NOUN,forma
formal,B1,formal,ADJ,formal
formally,B1,formally,ADV,formalmente
format,B1,format,NOUN,formato
format,B1,format,NOUN,formato
formation,B2,formation,NOUN,formación
former,B1,former,ADJ,anterior
formerly,B2,formerly,ADV,antes
formidable,B2,formidable,ADJ,formidable
formula,B1,formula,NOUN,fórmula
forth,B1,forth,ADV,adelante
forthcoming,B2,forthcoming,ADJ,próximo
fortnight,B1,fortnight,PROPN,quincena
fortunate,B1,fortunate,VERB,afortunado
fortunately,A2,fortunately,ADV,afortunadamente
fortune,A2,fortune,NOUN,fortuna
forty,A1,forty,NUM,cuarenta
forward,A2,forward,ADV,adelante
foul,B2,foul,PROPN,falta
found,B2,find,VERB,encontró
foundation,B1,foundation,PROPN,base
fountain,B1,fountain,VERB,fuente
four,A1,four,NUM,cuatro
fourteen,A1,fourteen,NUM,catorce
fox,B2,fox,NOUN,zorro
fragment,B1,fragment,NOUN,fragmento
fragrance,B2,fragrance,PROPN,fragancia
frame,A2,frame,NOUN,marco
frame,B2,frame,NOUN,marco
frank,A2,frank,PROPN,franco
frankly,B2,frankly,ADV,francamente
frantically,B2,frantically,ADV,frenéticamente
fraud,B2,fraud,NOUN,fraude
freak,B2,freak,NOUN,fenómeno
free,A1,free,ADJ,gratis
free,A2,free,ADJ,gratis
free,B2,free,ADJ,gratis
freedom,A2,freedom,NOUN,libertad
freely,B1,freely,ADV,con libertad
freeze,A2,freeze,VERB,congelar
freezer,B1,freezer,PROPN,congelador
freezing,B1,freeze,VERB,congelación
frequency,B1,frequency,NOUN,frecuencia
frequent,B1,frequent,ADJ,frecuente
frequently,B1,frequently,ADV,frecuentemente
fresh,A2,fresh,ADJ,fresco
freshman,B1,freshman,NOUN,estudiante de primer año
Friday,A1,Friday,PROPN,Viernes
fridge,A2,fridge,NOUN,refrigerador
fried,A2,fry,VERB,frito
friend,A1,friend,NOUN,amigo
friendliness,B1,friendliness,VERB,amabilidad
friendly,B2,friendly,ADJ,amigable
friendship,A2,friendship,NOUN,amistad
frigate,B2,frigate,VERB,fragata
fright,B1,fright,PROPN,susto
frighten,A2,frighten,VERB,asustar
frightened,A2,frighten,VERB,atemorizado
frightening,A2,frightening,ADJ,alarmante
frog,A1,frog,NOUN,rana
from,A1,from,ADP,de
front,A1,front,NOUN,frente
front,A2,front,NOUN,frente
frontier,B2,frontier,NOUN,frontera
frost,B1,frost,NOUN,helada
frozen,B1,frozen,ADJ,congelado
frugal,B2,frugal,ADJ,frugal
fruit,A1,fruit,NOUN,fruta
frustrated,B1,frustrate,VERB,frustrado
frustration,B1,frustration,NOUN,frustración
fry,A2,fry,PROPN,freír
fry,B1,fry,PROPN,freír
frying pan,B1,fry,VERB,sartén
fuel,B1,fuel,NOUN,combustible
fulfill/fulfil,B2,fulfill,PROPN,cumplir/cumplir
full,A1,full,ADJ,lleno
full stop,B1,full,ADJ,punto final
full-time,B1,full,ADJ,jornada completa
full-time,B1,full,ADJ,jornada completa
fully,A2,fully,ADV,completamente
fume,B2,fume,NOUN,humo
fun,A1,fun,NOUN,divertido
fun,A1,fun,NOUN,divertido
function,B1,function,NOUN,función
function,A2,function,NOUN,función
functional,B2,functional,ADJ,funcional
functionality,B2,functionality,NOUN,funcionalidad
fund,B1,fund,NOUN,financiar
fund,B1,fund,NOUN,financiar
fundamental,B2,fundamental,ADJ,fundamental
funeral,B1,funeral,PROPN,funeral
funk,B2,funk,NOUN,canguelo
funky,B2,funky,ADJ,miedoso
funny,A1,funny,ADJ,divertido
fur,B1,fur,NOUN,pelo
furious,B2,furious,ADJ,furioso
furiously,B2,furiously,ADV,furiosamente
furnish,B1,furnish,PROPN,proporcionar
furniture,A2,furniture,NOUN,muebles
furor/furore,B2,furor,NOUN,furor/furor
further,A2,far,ADV,más
further,B1,far,ADV,más
furthermore,B1,furthermore,ADV,además
furthest,B1,furthest,ADV,más lejos
fuss,B1,fuss,VERB,escándalo
future,B1,future,NOUN,futuro
future,A1,future,NOUN,futuro
gaiety,B2,gaiety,NOUN,alegría
gain,B1,gain,VERB,ganar
gain,B1,gain,VERB,ganar
gall,B1,gall,PROPN,hiel
gallery,A2,gallery,PROPN,galería
gallon,B1,gallon,NOUN,galón
gambling,B2,gamble,VERB,juego
game,A1,game,NOUN,juego
gang,B2,gang,NOUN,banda
gangster,B2,gangster,PROPN,gángster
gap,B1,gap,NOUN,brecha
garage,A2,garage,NOUN,cochera
garbage,A1,garbage,NOUN,basura
garden,A1,garden,NOUN,jardín
gardener,B2,gardener,NOUN,jardinero
gardening,B1,garden,VERB,jardinería
garlic,A2,garlic,PROPN,ajo
garment,B1,garment,NOUN,prenda
gas,A2,gas,NOUN,gas
gasp,B2,gasp,NOUN,jadear
gate,A2,gate,PROPN,puerta
gateway,B2,gateway,NOUN,puerta
gather,A2,gather,VERB,recolectar
gaudy,B2,gaudy,PROPN,llamativo
gay,B1,gay,ADJ,homosexuales
gaze,B2,gaze,NOUN,mirada
gear,B2,gear,NOUN,engranaje
gee,B1,gee,NOUN,Caramba
gender,A2,gender,NOUN,género
gene,B1,gene,NOUN,gene
general,B1,general,ADJ,general
general,B1,general,ADJ,general
generalization/generalisation,B2,generalization,NOUN,generalización/generalización
generalize/generalise,B2,generalize,VERB,generalizar/generalizar
generally,B1,generally,ADV,generalmente
generate,B1,generate,VERB,generar
generation,A2,generation,NOUN,generación
generosity,B2,generosity,NOUN,generosidad
generous,B1,generous,ADJ,generoso
generously,B2,generously,ADV,generosamente
genetic,B1,genetic,ADJ,genético
genetically,B1,genetically,ADV,genéticamente
genetics,B1,genetic,NOUN,genética
genius,B2,genius,NOUN,genio
genre,B2,genre,VERB,género
gentle,A2,gentle,ADJ,amable
gentleman,B1,gentleman,NOUN,hidalgo
gently,B2,gently,ADV,suavemente
genuine,B2,genuine,ADJ,genuino
genuinely,B2,genuinely,ADV,verdaderamente
geographic,B2,geographic,PROPN,geográfico
geographical,B1,geographical,ADJ,geográfico
geography,B1,geography,NOUN,geografía
geology,B1,geology,NOUN,geología
germ,B2,germ,NOUN,germen
gesture,B1,gesture,VERB,gesto
get,A1,get,VERB,conseguir
getaway,B2,getaway,VERB,escapar
ghetto,B2,ghetto,NOUN,ghetto
ghost,A1,ghost,NOUN,fantasma
giant,B1,giant,NOUN,gigante
gift,A1,gift,NOUN,regalo
gifted,B1,gift,VERB,dotado
giggle,B1,giggle,VERB,risilla
ginger,B1,ginger,NOUN,jengibre
giraffe,B1,giraffe,PROPN,jirafa
girl,A1,girl,NOUN,chica
girlfriend,A1,girlfriend,VERB,novia
give,A1,give,VERB,dar
giveaway,B2,giveaway,NOUN,donar
given,A2,give,VERB,dado
glacis,B2,glacis,PROPN,glacis
glad,A1,glad,ADJ,contento
glamorous/glamourous,B2,glamorous,ADJ,glamoroso/glamuroso
glance,B1,glance,NOUN,mirada
glance,B1,glance,NOUN,mirada
glare,B2,glare,NOUN,deslumbramiento
glass,A1,glass,NOUN,vaso
glasses,A1,glass,NOUN,anteojos
gleam,B2,gleam,PROPN,destello
glee,B2,glee,PROPN,júbilo
glide,B1,glide,NOUN,planeo
glimpse,B1,glimpse,NOUN,vistazo
glint,B1,glint,NOUN,destello
global,B1,global,PROPN,global
global warming,B2,global,ADJ,calentamiento global
globally,B2,globally,ADV,globalmente
globe,A2,globe,PROPN,globo
glocal,B2,glocal,ADJ,glocal
gloomy,B2,gloomy,ADJ,sombrío
glorify,B2,glorify,VERB,glorificar
glorious,B1,glorious,ADJ,glorioso
glory,B1,glory,NOUN,gloria
glove,A2,glove,NOUN,guante
glow,B2,glow,VERB,brillo
go,B1,go,VERB,ir
go,A1,go,VERB,ir
goal,A1,goal,NOUN,meta
goalkeeper,B1,goalkeeper,NOUN,portero
goat,B2,goat,PROPN,cabra
god,B2,god,PROPN,dios
goddess,B1,goddess,NOUN,diosa
godly,B2,godly,ADV,piadoso
gold,A1,gold,NOUN,oro
gold,A2,gold,NOUN,oro
golden,A2,golden,ADJ,dorado
golf,A2,golf,NOUN,golf
golfer,B1,golfer,VERB,golfista
good,A1,good,ADJ,bien
good,B2,good,ADJ,bien
good afternoon,A1,good,ADJ,buenas tardes
good morning,A1,good,ADJ,buen día
good night,A1,good,ADJ,buenas noches
good-looking,A2,good,ADV,buen mozo
goodness,B1,goodness,NOUN,bondad
goods,B1,good,NOUN,bienes
goodwill,B2,goodwill,NOUN,buena voluntad
gook,B2,gook,NOUN,bien
gorge,B2,gorge,NOUN,garganta
gorgeous,B1,gorgeous,ADJ,espléndido
gorilla,B1,gorilla,PROPN,gorila
gossip,B1,gossip,NOUN,chisme
gossip,B2,gossip,NOUN,chisme
govern,B1,govern,VERB,gobernar
government,A2,government,NOUN,gobierno
governmental,B2,governmental,PROPN,gubernamental
governor,B1,governor,NOUN,gobernador
gown,B1,gown,PROPN,vestido
grab,B1,grab,NOUN,agarrar
grace,A2,grace,NOUN,gracia
graceful,B1,graceful,ADJ,agraciado
gracefulness,B2,gracefulness,NOUN,gracia
grade,A1,grade,NOUN,calificación
grade,B2,grade,NOUN,calificación
gradual,B2,gradual,ADJ,gradual
gradually,A2,gradually,ADV,gradualmente
graduate,B1,graduate,NOUN,graduado
graduate,A2,graduate,NOUN,graduado
graduation,B1,graduation,NOUN,graduación
grain,B2,grain,NOUN,grano
gram/gramme,A2,gram,PROPN,gramo/gramo
grammar,A1,grammar,PROPN,gramática
grand,B2,grand,PROPN,magnífico
grandchild,A2,grandchild,VERB,nieto
granddad,A2,granddad,PROPN,abuelo
granddaughter,A2,granddaughter,NOUN,nieta
grandfather,A1,grandfather,NOUN,abuelo
grandma,A1,grandma,NOUN,abuela
grandmother,A1,grandmother,NOUN,abuela
grandpa,A1,grandpa,PROPN,abuelo
grandparent,A1,grandparent,NOUN,abuelo
grandson,A2,grandson,NOUN,nieto
granny,A2,granny,PROPN,abuelita
grant,B1,grant,NOUN,conceder
grant,B1,grant,NOUN,conceder
grape,A1,grape,NOUN,uva
graph,B1,graph,NOUN,gráfico
graphic,B1,graphic,PROPN,gráfico
graphically,B2,graphically,ADV,gráficamente
graphics,B1,graphic,NOUN,gráficos
grasp,B2,grasp,VERB,comprender
grass,A1,grass,NOUN,césped
grateful,A2,grateful,ADJ,agradecido
gratitude,B1,gratitude,VERB,gratitud
grave,B1,grave,NOUN,tumba
gravestone,B2,gravestone,NOUN,lápida sepulcral
gravitation,B2,gravitation,NOUN,gravitación
gravy,B1,gravy,NOUN,salsa
gray/grey,A1,gray,ADJ,gris/gris
gray/grey,A1,gray,ADJ,gris/gris
great,A1,great,ADJ,excelente
greatly,A2,greatly,ADV,muy
greatness,B2,greatness,NOUN,grandeza
greedy,A2,greedy,ADJ,avaro
green,A1,green,PROPN,verde
green,A2,green,PROPN,verde
greenhouse,B1,greenhouse,NOUN,invernadero
greet,A1,greet,NOUN,saludar
greeting,B1,greet,VERB,saludo
grief,B2,grief,NOUN,dolor
grieve,B2,grieve,VERB,afligirse
grill,B1,grill,NOUN,parrilla
grill,B1,grill,NOUN,parrilla
grilled,A2,grill,VERB,asado a la parrilla
grim,B2,grim,ADJ,severo
grin,B2,grin,NOUN,sonrisa
grip,B2,grip,NOUN,agarre
grip,B2,grip,NOUN,agarre
grocery store,A2,grocery,NOUN,tienda de comestibles
groom,B1,groom,PROPN,acicalar
gross,B2,gross,ADJ,bruto
ground,A1,ground,NOUN,suelo
ground floor,B1,ground,NOUN,planta baja
group,A1,group,NOUN,grupo
group,B1,group,NOUN,grupo
grouping,B1,group,VERB,agrupamiento
grow,A1,grow,VERB,crecer
growing,B2,grow,VERB,creciente
grown-up,B2,grow,VERB,creciendo
grown-up,B2,grow,VERB,creciendo
growth,B1,growth,NOUN,crecimiento
guarantee,B1,guarantee,VERB,garantizar
guarantee,B2,guarantee,VERB,garantizar
guard,A2,guard,NOUN,guardia
guard,B2,guard,NOUN,guardia
guerrilla,B2,guerrilla,PROPN,guerrilla
guess,B1,guess,VERB,adivinar
guess,A1,guess,VERB,adivinar
guest,A1,guest,NOUN,invitado
guidance,B1,guidance,NOUN,guía
guide,B1,guide,VERB,guía
guide,B1,guide,VERB,guía
guidebook,A2,guidebook,NOUN,guía
guideline,B2,guideline,NOUN,pauta
guilt,B1,guilt,NOUN,culpa
guilty,B1,guilty,ADJ,culpable
guitar,A1,guitar,NOUN,guitarra
guitarist,B1,guitarist,NOUN,guitarrista
gulp,B2,gulp,PROPN,trago
gum,B2,gum,NOUN,goma
gun,A2,gun,PROPN,pistola
gunshot,B2,gunshot,NOUN,cañonazo
guts,B2,gut,NOUN,vísceras
guy,A1,guy,NOUN,chico
gym,B1,gym,PROPN,gimnasia
gymnastic,B2,gymnastic,ADJ,gimnástico
gymnastics,B1,gymnastic,NOUN,gimnasia
habit,A1,habit,NOUN,hábito
habitant,B2,habitant,NOUN,habitante
habitat,B1,habitat,PROPN,hábitat
had,A1,have,VERB,tenía
hail,B2,hail,NOUN,granizo
hair,A1,hair,NOUN,cabello
haircut,A1,haircut,PROPN,corte de pelo
hairdresser,B1,hairdresser,NOUN,peluquero
hairdryer,B1,hairdryer,PROPN,secador de pelo
hairy,B2,hairy,PROPN,peludo
half,B1,half,ADJ,medio
half,A2,half,ADJ,medio
half,A1,half,ADJ,medio
half,A2,half,ADJ,medio
half-price,A2,half,ADJ,mitad de precio
half-price,A2,half,ADJ,mitad de precio
hall,A1,hall,PROPN,sala
ham,A2,ham,PROPN,jamón
hamburger,A1,hamburger,NOUN,hamburguesa
hammer,B1,hammer,NOUN,martillo
hammer,B2,hammer,NOUN,martillo
hand,A1,hand,NOUN,mano
hand,A2,hand,NOUN,mano
handbag,A2,handbag,PROPN,bolso
handball,B1,handball,PROPN,balonmano
hand-held,B1,hand,NOUN,portátil
handicap,B2,handicap,ADJ,handicap
handicapped,A2,handicap,VERB,minusválido
handicraft,B2,handicraft,NOUN,artesanía
handkerchief,B1,handkerchief,NOUN,pañuelo
handle,A2,handle,VERB,manejar
handle,B1,handle,VERB,manejar
handout,B2,handout,VERB,folleto
handrail,B2,handrail,NOUN,pretil
handshake,B1,handshake,VERB,apretón de manos
handsome,A1,handsome,ADJ,elegante
handwriting,B1,handwriting,NOUN,escritura
handy,B1,handy,ADJ,práctico
hang,B2,hang,VERB,colgar
hang,B1,hang,VERB,colgar
hanging,B1,hang,VERB,colgante
happen,A1,happen,VERB,suceder
happily,A2,happily,ADV,felizmente
happiness,A2,happiness,NOUN,felicidad
happy,A1,happy,ADJ,feliz
harbor/harbour,B1,harbor,PROPN,puerto/puerto
hard,A1,hard,ADJ,duro
hard,A1,hard,ADJ,duro
hard drive,B2,hard,PROPN,disco duro
hardly,A2,hardly,ADV,difícilmente
hardship,B1,hardship,NOUN,privación
hardware,B2,hardware,NOUN,hardware
hard-working,B1,hard,ADV,trabajo duro
harm,B2,harm,NOUN,dañar
harm,A2,harm,NOUN,dañar
harmful,A2,harmful,ADJ,dañino
harmless,B2,harmless,ADJ,inofensivo
harmony,A2,harmony,PROPN,armonía
harness,B1,harness,ADJ,aprovechar
harrow,B2,harrow,PROPN,grada
harvest,A2,harvest,NOUN,cosecha
has,A1,have,VERB,tiene
haste,B2,haste,NOUN,prisa
hastily,B2,hastily,ADV,precipitadamente
hasty,B1,hasty,ADJ,apresurado
hat,A1,hat,NOUN,sombrero
hatch,B1,hatch,PROPN,escotilla
hatching,B2,hatch,VERB,eclosión
hate,B1,hate,VERB,odiar
hate,A2,hate,VERB,odiar
hatred,B1,hatre,VERB,odio
haunt,B1,haunt,VERB,guarida
haunt,B2,haunt,VERB,guarida
haunting,B2,haunt,VERB,obsesionante
have,A1,have,VERB,tener
have to,A1,have,VERB,tengo que
haven,B1,haven,NOUN,refugio
hay,B2,hay,PROPN,heno
hazard,B1,hazard,NOUN,peligro
hazardous,B2,hazardous,ADJ,peligroso
he,A1,he,PRON,él
head,A1,head,NOUN,cabeza
head,A2,head,NOUN,cabeza
headache,A1,headache,PROPN,dolor de cabeza
headline,B1,headline,NOUN,titular
headphone,A2,headphone,VERB,auricular
headquarters,B2,headquarter,NOUN,sede
headteacher,A2,headteacher,PROPN,director
heal,B1,heal,VERB,sanar
healing,B1,healing,NOUN,cicatrización
health,A1,health,NOUN,salud
health care,B2,health,NOUN,cuidado de la salud
healthy,A1,healthy,ADJ,saludable
heap,B2,heap,NOUN,montón
heap,B2,heap,NOUN,montón
hear,A1,hear,VERB,escuchar
hearing,B1,hear,VERB,audiencia
heart,A1,heart,NOUN,corazón
heart attack,B1,heart,NOUN,infarto de miocardio
heartbreaking,B2,heartbreake,VERB,angustioso
hearted,B1,hearte,VERB,de corazón
heartwarming/heart-warming,B2,heartwarming,NOUN,conmovedor/conmovedor
hearty,B1,hearty,ADJ,abundante
heat,A2,heat,NOUN,calor
heat,B1,heat,NOUN,calor
heater,B1,heater,PROPN,calentador
heating,A2,heating,NOUN,calefacción
heaven,B1,heaven,PROPN,cielo
heavenly,B1,heavenly,ADV,celestial
heavily,A2,heavily,ADV,fuertemente
heavy,A1,heavy,ADJ,pesado
hedge,B2,hedge,NOUN,cobertura
heel,B1,heel,VERB,tacón
height,B1,height,NOUN,altura
helicopter,B2,helicopter,NOUN,helicóptero
hell,B2,hell,NOUN,infierno
hello,A1,hello,INTJ,Hola
helmet,B1,helmet,NOUN,casco
help,A2,help,VERB,ayuda
help,A1,help,VERB,ayuda
helper,B2,helper,NOUN,ayudante
helpful,A2,helpful,ADJ,útil
helpless,B1,helpless,ADJ,indefenso
hemp,B2,hemp,ADV,cáñamo
her,A1,she,PRON,su
her,A1,she,PRON,su
herb,B2,herb,NOUN,hierba
herd,B1,herd,PROPN,rebaño
here,A1,here,ADV,aquí
heritage,B2,heritage,NOUN,herencia
hero,A2,hero,NOUN,héroe
hers,A1,her,NOUN,suyo
herself,A2,herself,PRON,sí misma
hesitate,B1,hesitate,VERB,dudar
hesitation,B2,hesitation,NOUN,vacilación
hey,A2,hey,INTJ,ey
hi,A1,hi,INTJ,Hola
hidden,B1,hide,VERB,oculto
hide,A1,hide,VERB,esconder
high,A1,high,ADJ,alto
high,A2,high,ADJ,alto
high school,A2,high,ADJ,escuela secundaria
highlight,B2,highlight,PROPN,destacar
highlight,B1,highlight,PROPN,destacar
highly,B1,highly,ADV,muy
high-tech/hi-tech,B2,high,ADJ,alta tecnología/alta tecnología
highway,A2,highway,NOUN,carretera
hijack,B2,hijack,NOUN,secuestrar
hijack,B2,hijack,NOUN,secuestrar
hike,A2,hike,NOUN,caminata
hiking,A2,hike,VERB,senderismo
hilarious,B2,hilarious,ADJ,gracioso
hill,A1,hill,PROPN,colina
him,A1,he,PRON,a él
himself,A2,himself,PRON,sí mismo
hint,B2,hint,NOUN,pista
hip,B1,hip,NOUN,cadera
hip hop/hip-hop/hiphop,A2,hip,PROPN,hip hop/hip hop/hip hop
hire,B1,hire,VERB,contratar
his,A1,his,PRON,su
his,A1,his,PRON,su
historian,B1,historian,PROPN,historiador
historic,B1,historic,ADJ,histórico
historical,B1,historical,ADJ,histórico
history,A1,history,NOUN,historia
hit,B1,hit,VERB,golpear
hit,A2,hit,VERB,golpear
HIV,B1,HIV,PROPN,VIH
hobby,A1,hobby,NOUN,pasatiempo
hockey,A2,hockey,PROPN,hockey
hold,A1,hold,VERB,sostener
hold,A2,hold,VERB,sostener
holder,B2,holder,PROPN,titular
hole,A1,hole,NOUN,agujero
holiday,A1,holiday,NOUN,día festivo
hollow,B2,hollow,ADJ,hueco
holocaust,B2,holocaust,PRON,holocausto
holy,B1,holy,PROPN,santo
home,A2,home,NOUN,hogar
home,A1,home,NOUN,hogar
homeless,B1,homeless,ADJ,sin hogar
hometown,A1,hometown,NOUN,ciudad natal
homeward,B2,homeward,NOUN,de regreso
homework,A1,homework,PROPN,tarea
hone,B2,hone,NOUN,piedra de afilar
honest,B1,honest,ADJ,honesto
honestly,B1,honestly,ADV,honestamente
honesty,B1,honesty,NOUN,honestidad
honey,A2,honey,NOUN,Miel
honeymoon,B1,honeymoon,NOUN,luna de miel
honor/honour,A2,honor,NOUN,honor/honor
honor/honour,B2,honor,NOUN,honor/honor
honorable/honourable,B2,honorable,ADJ,honorable/honorable
hood,B2,hood,NOUN,capucha
hook,B2,hook,NOUN,gancho
hook,B2,hook,NOUN,gancho
hop,B1,hop,PROPN,brincar
hope,A1,hope,NOUN,esperanza
hope,B1,hope,NOUN,esperanza
hopeful,B1,hopeful,ADJ,esperanzado
hopefully,B1,hopefully,ADV,con un poco de suerte
hopeless,B1,hopeless,ADJ,desesperanzado
horizon,B1,horizon,NOUN,horizonte
horn,B1,horn,VERB,bocina
horrible,B1,horrible,ADJ,horrible
horrify,B1,horrify,VERB,horrorizar
horror,A2,horror,NOUN,horror
horse,A1,horse,NOUN,caballo
hospice,B2,hospice,NOUN,hospicio
hospitable,B2,hospitable,ADJ,hospitalario
hospital,A1,hospital,NOUN,hospital
hospitality,B2,hospitality,NOUN,hospitalidad
hospitalize/hospitalise,B2,hospitalize,PROPN,hospitalizar / hospitalizar
host,A2,host,NOUN,anfitrión
hostel,B1,hostel,NOUN,Albergue
hot,A1,hot,ADJ,caliente
hotel,A1,hotel,NOUN,hotel
hour,A1,hour,NOUN,hora
hourly,B2,hourly,ADV,cada hora
house,A1,house,PROPN,casa
household,B1,household,NOUN,familiar
housekeeper,B2,housekeeper,NOUN,ama de llaves
housemaster,B2,housemaster,PROPN,maestro en un internado
housewife,B2,housewife,NOUN,ama de casa
housework,B1,housework,NOUN,tareas de la casa
hover,B2,hover,ADV,flotar
how,A1,how,SCONJ,cómo
however,A2,however,ADV,sin embargo
hug,B2,hug,PROPN,abrazo
hug,A2,hug,PROPN,abrazo
huge,B1,huge,ADJ,enorme
hugely,B2,hugely,ADV,enormemente
human,A2,human,NOUN,humano
human,B1,human,NOUN,humano
human rights,B2,human,ADJ,derechos humanos
humane,B2,humane,PROPN,humano
humanist,B2,humanist,NOUN,humanista
humanity,B1,humanity,NOUN,humanidad
humanize/humanise,B2,humanize,NOUN,humanizar/humanizar
humble,B2,humble,ADJ,humilde
humbug,B2,humbug,PROPN,farsante
humid,B1,humid,PROPN,húmedo
humiliate,B2,humiliate,VERB,humillar
